,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
2411,137940,넥스트아이,KOSDAQ,중견기업부,350,2,-19,-5.15,360,390,334,3126569,1132637201,27412347200,78320992,KSQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","LCD 편광필름 검사장비, BLU 검사장비 등",2011-06-14,12월,진광(Chen Guang),,경기도
2412,148250,알엔투테크놀로지,KOSDAQ,벤처기업부,3705,2,-100,-2.63,3805,3805,3700,16078,59835720,27384344130,7391186,KSQ,전자부품 제조업,"이동통신부품(커플러), 의료기기용기판, 파우더",2016-06-22,12월,이효종,http://www.rn2.co.kr,경기도
2413,001070,대한방직,KOSPI,,5160,2,-30,-0.58,5190,5300,5040,3825,19480310,27348000000,5300000,STK,직물직조 및 직물제품 제조업,"면사,화섬사,면직물 제조,판매,건설",1973-12-28,12월,"설 범, 김 인호",http://www.thtc.co.kr,서울특별시
2414,270210,에스알바이오텍,KONEX,일반기업부,16500,2,-10,-0.06,16600,16600,16000,4636,74331950,27310882500,1655205,KNX,기타 화학제품 제조업,화장품 제조 및 유통,2017-06-15,12월,이소형,,경기도
2415,005320,온타이드,KOSPI,,403,3,0,0.0,403,414,394,148355,59453166,27133142491,67327897,STK,생활용품 도매업,"셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대",1996-12-24,12월,우혁주,http://www.ontide.co.kr,서울특별시
2416,038530,케이바이오,KOSDAQ,중견기업부,234,1,2,0.86,231,239,229,439326,102430661,27077157198,115714347,KSQ,생활용품 도매업,"실험용 시약, 과학기자재 등",2000-06-09,12월,조정영,http://www.kbiocompany.com,서울특별시
2417,007120,미래아이앤지,KOSPI,,936,2,-18,-1.89,965,985,910,166507,156229252,27030377088,28878608,STK,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26,12월,김학수,http://www.miraeing.co.kr,서울특별시
2418,076340,관악산업,KONEX,일반기업부,5540,1,50,0.91,5520,5540,5490,81044,445594830,26987888400,4871460,KNX,기반조성 및 시설물 축조관련 전문공사업,"수중공사, 준설공사 등",2015-05-18,12월,이규항,http://www.gwan-ak.co.kr,서울특별시
2419,037400,우리엔터프라이즈,KOSDAQ,우량기업부,1028,2,-58,-5.34,1086,1100,1017,202233,213309920,26957599688,26223346,KSQ,상품 종합 도매업,"변환장치 제조업 백열전구, 형광등",1999-12-16,12월,엄태욱,http://www.wooree.co.kr,경기도
2420,317120,라닉스,KOSDAQ,기술성장기업부,2785,2,-185,-6.23,3175,3175,2590,69080,195484245,26903100000,9660000,KSQ,반도체 제조업,"자동차 및 IoT 통신, 보안솔루션",2019-09-18,12월,최승욱,http://www.ranix.co.kr,서울특별시
2421,353190,휴럼,KOSDAQ,중견기업부,682,2,-16,-2.29,698,698,670,81867,55412484,26856082440,39378420,KSQ,기타 식품 제조업,금융지원 서비스,2020-06-17,12월,김진석,,서울특별시
2422,033050,제이엠아이,KOSDAQ,중견기업부,824,2,-5,-0.6,829,829,771,43107,34461368,26845377808,32579342,KSQ,기타 화학제품 제조업,CD복제품,1997-08-18,12월,정광훈,http://www.jmikorea.co.kr,경기도
2423,009310,참엔지니어링,KOSPI,,316,2,-9,-2.77,325,325,307,138814,43560730,26818104404,84867419,STK,특수 목적용 기계 제조업,FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매),1987-11-12,12월,이경희,http://www.charmeng.com,경기도
2424,900300,오가닉티코스메틱,KOSDAQ,외국기업(소속부없음),549,2,-68,-11.02,617,619,517,1690359,925953278,26796273858,48809242,KSQ,기타 금융업,"유아용 화장품(클렌징, 여름용, 피부케어, 기능성 화장품)",2016-11-04,12월,채정망,,홍콩
2425,355690,에이텀,KOSDAQ,기술성장기업부,4955,2,-255,-4.89,5160,5290,4800,20871,103667630,26781675900,5404980,KSQ,전자부품 제조업,평판형 트랜스,2023-12-01,12월,한택수,http://www.iatum.com/,경기도
2426,900110,이스트아시아홀딩스,KOSDAQ,외국기업(소속부없음),62,2,-2,-3.13,63,63,61,4546704,282338351,26779787100,431932050,KSQ,기타 금융업,"스포츠화, 스포츠의류",2010-04-23,12월,"정강위, 정소영",http://www.qiuzhi.com,홍콩
2427,032800,판타지오,KOSDAQ,중견기업부,582,2,-10,-1.69,589,592,571,189331,109663624,26747007756,45957058,KSQ,창작 및 예술관련 서비스업,서비스,1997-06-26,06월,신영진,http://www.fantagio.kr,서울특별시
2428,191600,블루탑,KONEX,일반기업부,9350,0,0,0.0,0,0,0,0,0,26647500000,2850000,KNX,전자부품 제조업,,2016-08-05,12월,김상봉,http://www.e-tkc.com,인천광역시
2429,101390,아이엠,KOSDAQ,투자주의환기종목(소속부없음),2385,1,80,3.47,2330,2570,1615,186239,426800422,26626681395,11164227,KSQ,전자부품 제조업,휴대폰카메라모듈 등,2008-07-23,12월,김태동,http://www.im2006.com,경기도
2430,072950,빛샘전자,KOSDAQ,우량기업부,3305,2,-165,-4.76,3510,3510,3165,76150,248551845,26613876050,8052610,KSQ,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체",2012-03-21,12월,"강만준, 강명구 (각자대표)",http://www.vissem.com,경기도
2431,379390,이성씨엔아이,KONEX,일반기업부,9350,0,0,0.0,0,0,0,0,0,26567651000,2841460,KNX,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 계측제어 서비스(경상정비),2021-06-04,12월,"박기선, 이명춘",http://www.iscni.co.kr/,부산광역시
2432,317860,노드메이슨,KONEX,일반기업부,5900,3,0,0.0,5900,5900,5900,10,59000,26421468500,4478215,KNX,기타 화학제품 제조업,헉슬리/Huxley 화장품(스킨케어 스페셜/스킨케어베이직),2019-12-06,12월,구자풍,http://www.huxley.co.kr,서울특별시
2433,011090,에넥스,KOSPI,,439,2,-7,-1.57,446,451,426,216681,94507331,26336330399,59991641,STK,가구 제조업,"씽크상판,주방기기,목재케비넷,유해가스저감장치시설 제조,판매",1995-07-08,12월,박진규,http://www.enex.co.kr,서울특별시
2434,146060,율촌,KOSDAQ,중견기업부,1095,2,-25,-2.23,1100,1120,1052,214783,230663475,26297076525,24015595,KSQ,1차 철강 제조업,냉간인발강관(파이프),2023-09-08,12월,"이흥해, 이인호",http://www.ycpipe.com,경기도
2435,025440,DH오토웨어,KOSDAQ,중견기업부,854,1,9,1.07,850,859,809,156181,129673466,26287165296,30781224,KSQ,영상 및 음향기기 제조업,카멀티미디어 및 TFT-LCD 부품제조..,1995-05-22,12월,"김진우, 지태수",http://www.dseltec.co.kr,서울특별시
2436,000040,KR모터스,KOSPI,,434,1,25,6.11,393,439,393,371875,153623042,26097664712,60132868,STK,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,노성석,http://www.krmotors.com,경상남도
