Symbol,Category,CategoryName,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap,Brand,인버스,레버리지,헤지
251600,7,기타,PLUS 고배당주채권혼합,12500,5,-35,-0.28,12517.0,1.8112,3598,45,475,PLUS,False,False,False
261270,7,기타,KODEX 미국달러선물인버스,7910,5,-5,-0.06,7913.0,-6.5526,666,5,470,KODEX,True,False,False
403790,1,국내 시장지수,마이다스 코스피액티브,19545,5,-45,-0.23,19563.0,-2.2212,11,0,469,마이다스,False,False,False
465660,4,해외주식,TIGER 일본반도체FACTSET,11645,5,-35,-0.3,11667.0,1.9108,70,0,466,TIGER,False,False,False
484880,2,국내 업종/테마,SOL 금융지주플러스고배당,11100,5,-95,-0.85,11104.0,6.4365,24840,276,461,SOL,False,False,False
114100,6,채권,RISE 국고채3년,109775,5,-90,-0.08,109830.0,1.4066,1,0,459,RISE,False,False,False
434730,2,국내 업종/테마,HANARO 원자력iSelect,17310,5,-60,-0.35,17394.0,3.7634,9877,170,459,HANARO,False,False,False
494670,2,국내 업종/테마,TIGER 조선TOP10,11210,5,-185,-1.62,11216.0,,52803,595,443,TIGER,False,False,False
453080,4,해외주식,KOSEF 미국나스닥100(H),17705,5,-20,-0.11,17617.0,12.4682,3962,70,443,KOSEF,False,False,True
426150,6,채권,WON 대한민국국고채액티브,58470,5,-105,-0.18,58420.0,3.884,403,23,440,WON,False,False,False
123320,3,국내파생,TIGER 레버리지,14550,5,-45,-0.31,14565.0,-9.3479,15854,229,437,TIGER,False,True,False
429760,4,해외주식,PLUS 미국S&P500,16075,5,-35,-0.22,16054.0,16.7053,1283,20,434,PLUS,False,False,False
475350,4,해외주식,RISE 버크셔포트폴리오TOP10,13000,2,75,0.58,12889.0,13.9268,4602,59,429,RISE,False,False,False
490600,4,해외주식,RISE 미국배당100데일리고정커버드콜,10400,2,10,0.1,10360.0,,9618,99,426,RISE,False,False,False
469070,2,국내 업종/테마,RISE AI&로봇,7915,2,140,1.8,7908.0,2.0341,12972,102,423,RISE,False,False,False
99140,4,해외주식,KODEX 차이나H,19665,5,-290,-1.45,19840.0,32.2837,242,4,423,KODEX,False,False,False
441540,2,국내 업종/테마,HANARO Fn조선해운,14540,5,-165,-1.12,14553.0,19.0206,2183,31,422,HANARO,False,False,False
266360,2,국내 업종/테마,KODEX 미디어&엔터테인먼트,11960,2,180,1.53,11993.0,14.092,6481,77,419,KODEX,False,False,False
122260,6,채권,KOSEF 통안채1년,106245,3,0,0.0,106253.0,0.9166,0,0,414,KOSEF,False,False,False
448490,6,채권,HANARO 32-10 국고채액티브,58070,3,0,0.0,58057.0,2.335,0,0,413,HANARO,False,False,False
276970,4,해외주식,KODEX 미국S&P500배당귀족커버드콜(합성 H),8730,2,10,0.11,8696.0,1.7146,169,1,410,KODEX,False,False,False
473490,4,해외주식,KOSEF 글로벌AI반도체,16045,2,95,0.6,15914.0,13.5635,2847,45,409,KOSEF,False,False,False
460960,7,기타,ACE 글로벌인컴TOP10 SOLACTIVE,11505,5,-60,-0.52,11507.0,10.5323,1152,13,408,ACE,False,False,False
464470,6,채권,PLUS 미국채30년액티브,53875,5,-325,-0.6,53736.0,-1.347,202,10,406,PLUS,False,False,False
336160,6,채권,RISE 금융채액티브,103050,5,-80,-0.08,103079.0,1.427,35,3,404,RISE,False,False,False
385720,1,국내 시장지수,TIMEFOLIO 코스피액티브,8975,2,5,0.06,8991.0,-1.86,2,0,404,TIMEFOLIO,False,False,False
475380,7,기타,RISE 글로벌리얼티인컴,10565,5,-25,-0.24,10570.0,-1.3048,347,3,401,RISE,False,False,False
385510,2,국내 업종/테마,KODEX K-신재생에너지액티브,16040,5,-145,-0.9,16158.0,-5.5167,55,0,401,KODEX,False,False,False
400570,4,해외주식,KODEX 유럽탄소배출권선물ICE(H),9745,5,-415,-4.08,9805.0,2.3162,31008,301,401,KODEX,False,False,True
152870,1,국내 시장지수,파워 200,33310,2,15,0.05,33326.0,-3.6269,1,0,400,파워,False,False,False
453820,4,해외주식,KODEX 인도Nifty50레버리지(합성),18410,5,-105,-0.57,18504.0,5.4985,50,0,396,KODEX,False,True,False
227540,2,국내 업종/테마,TIGER 200 헬스케어,19550,2,240,1.24,19578.0,-4.9705,1501,29,395,TIGER,False,False,False
491010,4,해외주식,TIGER 글로벌AI인프라액티브,13700,5,-150,-1.08,13617.0,35.9175,1383,19,392,TIGER,False,False,False
371450,4,해외주식,TIGER 글로벌클라우드컴퓨팅INDXX,13195,3,0,0.0,13278.0,41.3497,244,3,385,TIGER,False,False,False
261250,7,기타,KODEX 미국달러선물레버리지,16210,2,25,0.15,16216.0,16.0215,47704,772,384,KODEX,False,True,False
108450,2,국내 업종/테마,ACE 삼성그룹섹터가중,13610,2,35,0.26,13643.0,-9.9802,13,0,381,ACE,False,False,False
352560,7,기타,KODEX 미국부동산리츠(H),12490,2,5,0.04,12480.0,-3.4417,22562,281,381,KODEX,False,False,True
248270,4,해외주식,TIGER S&P글로벌헬스케어(합성),23200,5,-5,-0.02,23241.0,-4.3488,233,5,380,TIGER,False,False,False
363580,2,국내 업종/테마,KODEX 200IT TR,10545,2,50,0.48,10563.0,-12.139,34,0,380,KODEX,False,False,False
117700,2,국내 업종/테마,KODEX 건설,2810,2,15,0.54,2816.0,-11.9686,6516,18,377,KODEX,False,False,False
123310,3,국내파생,TIGER 인버스,5210,2,15,0.29,5208.0,4.5271,15079,78,375,TIGER,True,False,False
458030,6,채권,WON 단기국공채액티브,52995,3,0,0.0,53008.0,0.8852,0,0,374,WON,False,False,False
466930,2,국내 업종/테마,SOL 자동차TOP3플러스,10430,5,-10,-0.1,10454.0,-0.6661,577,6,370,SOL,False,False,False
138230,7,기타,KOSEF 미국달러선물,15975,2,40,0.25,15973.0,7.8146,126,2,369,KOSEF,False,False,False
365000,2,국내 업종/테마,TIGER 인터넷TOP10,4000,2,60,1.52,4016.0,20.4892,14404,57,362,TIGER,False,False,False
491090,4,해외주식,KODEX 미국테크1조달러기업포커스,12895,2,20,0.16,12878.0,21.9223,425,5,361,KODEX,False,False,False
337160,2,국내 업종/테마,KODEX 200ESG,13275,3,0,0.0,13287.0,-0.5618,0,0,358,KODEX,False,False,False
465330,2,국내 업종/테마,RISE 2차전지TOP10,9445,5,-35,-0.37,9476.0,-16.4758,9216,86,357,RISE,False,False,False
279530,2,국내 업종/테마,KODEX 고배당,10380,5,-20,-0.19,10403.0,2.5438,789,8,353,KODEX,False,False,False
468380,6,채권,KODEX iShares미국하이일드액티브,11585,5,-5,-0.04,11579.0,8.7752,887,10,352,KODEX,False,False,False
434960,1,국내 시장지수,DAISHIN343 K200,33280,3,0,0.0,33324.0,-3.4859,0,0,349,DAISHIN343,False,False,False
332620,6,채권,PLUS 미국장기우량회사채,97790,5,-565,-0.57,97722.0,2.8441,22,2,349,PLUS,False,False,False
469170,2,국내 업종/테마,ACE 포스코그룹포커스,4620,5,-30,-0.65,4621.0,-24.0197,22159,102,347,ACE,False,False,False
332500,1,국내 시장지수,ACE 200TR,21590,2,10,0.05,21595.0,-3.7896,268,5,345,ACE,False,False,False
371470,4,해외주식,TIGER 차이나바이오테크SOLACTIVE,5970,5,-65,-1.08,6023.0,25.3374,809,4,341,TIGER,False,False,False
368190,2,국내 업종/테마,HANARO Fn K-뉴딜디지털플러스,7325,3,0,0.0,7441.0,-5.0551,0,0,341,HANARO,False,False,False
195930,4,해외주식,TIGER 유로스탁스50(합성 H),17795,2,5,0.03,17850.0,2.8918,15,0,338,TIGER,False,False,False
237350,1,국내 시장지수,KODEX 코스피100,25670,5,-50,-0.19,25730.0,-3.5259,1358,34,334,KODEX,False,False,False
388280,2,국내 업종/테마,RISE 컨택트대표,6050,2,55,0.92,6075.0,3.8994,7,0,332,RISE,False,False,False
471040,4,해외주식,KoAct 글로벌AI&로봇액티브,15355,5,-35,-0.23,15226.0,23.7138,466,7,330,KoAct,False,False,False
426020,4,해외주식,TIMEFOLIO 미국S&P500액티브,22270,5,-120,-0.54,22203.0,26.7478,1492,33,330,TIMEFOLIO,False,False,False
475270,6,채권,ACE 5월만기자동연장회사채AA-이상액티브,10355,3,0,0.0,10357.0,0.7785,0,0,328,ACE,False,False,False
295020,6,채권,RISE 국채선물10년인버스,53340,2,110,0.21,53436.0,-0.9767,1,0,328,RISE,True,False,False
298770,4,해외주식,KODEX 한국대만IT프리미어,25030,2,155,0.62,25003.0,7.7772,2017,50,325,KODEX,False,False,False
476850,1,국내 시장지수,KoAct 배당성장액티브,9285,2,55,0.6,9274.0,-2.8524,17,0,325,KoAct,False,False,False
300640,2,국내 업종/테마,RISE 게임테마,9010,2,230,2.62,9040.0,4.0284,465,4,320,RISE,False,False,False
167860,6,채권,KOSEF 국고채10년레버리지,118145,5,-365,-0.31,118231.0,3.1732,60,7,319,KOSEF,False,True,False
102970,2,국내 업종/테마,KODEX 증권,7720,5,-85,-1.09,7717.0,2.6973,3852,29,317,KODEX,False,False,False
479620,4,해외주식,SOL 미국AI반도체칩메이커,10905,2,205,1.92,10739.0,10.766,22443,243,316,SOL,False,False,False
498400,2,국내 업종/테마,KODEX 200타겟위클리커버드콜,9855,5,-15,-0.15,9876.0,,21195,208,315,KODEX,False,False,False
476030,4,해외주식,SOL 미국나스닥100,13135,2,25,0.19,13058.0,20.3635,10061,132,315,SOL,False,False,False
287180,4,해외주식,PLUS 미국나스닥테크,36850,2,170,0.46,36628.0,14.4283,190,7,313,PLUS,False,False,False
304780,3,국내파생,HANARO 200선물레버리지,16360,5,-115,-0.7,16367.0,-9.2287,75,1,311,HANARO,False,True,False
421320,2,국내 업종/테마,PLUS 우주항공&UAM,12765,5,-125,-0.97,12758.0,1.2568,3087,39,306,PLUS,False,False,False
440340,7,기타,TIGER 글로벌멀티에셋TIF액티브,11640,2,20,0.17,11597.0,8.72,25853,300,303,TIGER,False,False,False
444490,4,해외주식,WON 미국S&P500,16335,5,-30,-0.18,16302.0,16.8511,5238,85,302,WON,False,False,False
472830,6,채권,RISE 미국30년국채커버드콜(합성),9805,5,-45,-0.46,9772.0,1.202,3910,38,299,RISE,False,False,False
495050,1,국내 시장지수,RISE 코리아밸류업,9480,2,30,0.32,9495.0,,10220,96,294,RISE,False,False,False
438320,4,해외주식,TIGER 차이나항셍테크레버리지(합성 H),7155,5,-120,-1.65,7190.0,61.1295,8203,57,293,TIGER,False,True,False
256750,4,해외주식,KODEX 차이나심천ChiNext(합성),10245,5,-60,-0.58,10317.0,54.151,40,0,293,KODEX,False,False,False
495230,1,국내 시장지수,KoAct 코리아밸류업액티브,9595,2,25,0.26,9613.0,,7,0,293,KoAct,False,False,False
475050,2,국내 업종/테마,ACE KPOP포커스,8470,2,220,2.67,8489.0,35.3568,47724,400,292,ACE,False,False,False
