Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
032300,한국파마,KOSDAQ,중견기업부,14940,1,1090,7.87,13720,14950,13720,54129,784661600,162946112940,10906701,KSQ,의약품 제조업,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)",2020-08-10,12월,박은희,http://koreapharma.co.kr,경기도
472850,폰드그룹,KOSDAQ,중견기업부,5020,1,260,5.46,4765,5040,4765,90594,449658965,162366543660,32343933,KSQ,봉제의복 제조업,"의류(언더웨어, 의복, 잡화, 코스메틱 등)",2024-02-02,12월,임종민 / 김유진,http://www.pond-group.co.kr,서울특별시
002390,한독,KOSPI,,11730,1,500,4.45,11100,11760,11100,34869,404931100,161446242090,13763533,STK,의약품 제조업,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",1976-06-30,12월,"김영진, 백진기",http://www.handok.co.kr,서울특별시
004380,삼익THK,KOSPI,,7680,1,430,5.93,7250,7750,7250,53699,402991550,161280000000,21000000,STK,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",1989-09-26,12월,"진영환, 진주완",http://www.samickthk.co.kr,대구광역시
203650,드림시큐리티,KOSDAQ,우량기업부,3185,1,205,6.88,2975,3205,2975,324709,1013250710,161179326490,50605754,KSQ,소프트웨어 개발 및 공급업,정보보안솔루션,2014-10-13,12월,"범진규, 문진일",http://www.dreamsecurity.com,서울특별시
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2565,1,165,6.88,2390,2565,2390,104962,263266430,160997095935,62766899,KSQ,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩,2010-11-12,12월,홍정혁,http://www.bgfecomaterials.com,경기도
214680,디알텍,KOSDAQ,우량기업부,2175,1,178,8.91,1997,2185,1997,871516,1832136934,160970127450,74009254,KSQ,의료용 기기 제조업,"X-ray Detector, X-ray System",2015-04-20,12월,안성현,http://www.drtech.com,경기도
065660,안트로젠,KOSDAQ,기술성장기업부,16450,1,1210,7.94,15090,16470,15090,20454,328446330,160081085850,9731373,KSQ,기타 전문 도매업,줄기세포치료제,2016-02-15,12월,"이성구, 김미형(각자대표)",http://www.anterogen.com,서울특별시
271980,제일약품,KOSPI,,10860,1,670,6.58,10210,10930,10210,13471,143634520,159694909920,14704872,STK,의약품 제조업,의약품,2017-07-17,12월,성석제,http://www.jeilpharm.co.kr,서울특별시
054450,텔레칩스,KOSDAQ,우량기업부,10520,1,550,5.52,9920,10560,9920,83757,864304910,159317331160,15144233,KSQ,반도체 제조업,"디지털미디어프로세서,발신자정보표시칩",2004-12-10,12월,이장규,http://www.telechips.com,경기도
214180,헥토이노베이션,KOSDAQ,우량기업부,12000,1,370,3.18,11630,12080,11630,31049,370349230,159086220000,13257185,KSQ,기타 정보 서비스업,휴대폰부가서비스,2015-06-30,12월,이현철,http://www.hectoinnovation.co.kr,서울특별시
064090,인크레더블버즈,KOSDAQ,중견기업부,3190,1,85,2.74,3150,3205,3000,89129,277197495,158679356550,49742745,KSQ,상품 종합 도매업,"Jayjun, Nerdy 외",2002-12-17,12월,임신영,http://www.fnrepublic.com,서울특별시
073010,케이에스피,KOSDAQ,우량기업부,3945,1,230,6.19,3675,3950,3675,227387,877463385,158554481250,40191250,KSQ,일반 목적용 기계 제조업,"선박용엔진밸브,형단조품",2004-12-17,12월,이범호,http://www.kspvalve.com,부산광역시
008110,대동전자,KOSPI,,15040,0,0,0.0,0,0,0,0,0,157776322880,10490447,STK,통신 및 방송 장비 제조업,"통신음향,전자기계기구용 플라스틱제품 제조,도매",1990-06-05,03월,김명성,http://www.daidong.com,서울특별시
461300,아이스크림미디어,KOSDAQ,중견기업부,12060,1,610,5.33,11370,12120,11370,98551,1172105920,157695751980,13075933,KSQ,소프트웨어 개발 및 공급업,"교육출판, 커머스, 연수",2024-08-30,12월,허주환,http://www.i-screammedia.com,경기도
092130,이크레더블,KOSDAQ,중견기업부,13090,1,170,1.32,12990,13150,12990,2015,26366300,157650724000,12043600,KSQ,기타 정보 서비스업,"전자신용인증서비스(정보),소프트웨어 개발",2008-10-24,12월,민영창,http://www.ecredible.co.kr,서울특별시
011785,금호석유우,KOSPI,,52100,1,2650,5.36,49450,52300,49450,8601,443695050,157523620600,3023486,STK,,,,,,,
